category_name,question,answer
과외,수강권은 어떻게 충전하나요?,"[수강권 충전 방법]
1. 수파자 사이트 학생 회원 가입 및 로그인 
2. 수강권 결제 클릭 
3. 원하는 수강권 결제하기 버튼 클릭 

[수강권 금액]
1. 수파자 500
- 정가: 350,000원 
- 신규 할인: 없음  
2. 수파자1000 
- 정가: 700,000원 
- 신규 할인: 17%(500,000원)
3. 수파자 2000
- 정가: 1,400,000원 
- 신규 할인: 없음 
- 프로모션 할인: 18%(1,150,000원)

[관련 링크]
https://www.supaja.com/ticket_list_st 

※ 수강권(시간)을 충전하여 수업이 진행된 만큼 차감되는 방식이며, 잔여 수강권 안에서 원하는 과목, 선생님께 수업을 신청하여 수강 가능 
※ 학생 계정 가입 후, 무료체험수업(30분) 1회 가능, 체험수업 이후 수파자 1000 수강권 신규 할인 쿠폰은 자동 적용 "
과외,기존 수강권을 모두 소진했어요. 수강권은 어떻게 충전하나요?,"[수강권 충전 방법]
1. 수파자 사이트 학생 회원 가입 및 로그인 
2. 수강권 결제 클릭 
3. 원하는 수강권 결제하기 버튼 클릭 

[수강권 금액]
1. 수파자 500
- 정가: 350,000원 
- 신규 할인: 없음  
2. 수파자1000 
- 정가: 700,000원 
- 신규 할인: 17%(500,000원)
3. 수파자 2000
- 정가: 1,400,000원 
- 신규 할인: 없음 
- 프로모션 할인: 18%(1,150,000원)

[관련 링크]
https://www.supaja.com/ticket_list_st 

※ 학생 계정 잔여 수강권 150분 이하시, 재구매 할인 쿠폰은 자동 적용"
과외,수강권을 환불하고 싶어요.,"[환불 진행 절차]
1. 환불 버튼 클릭 
2. 수파자 담당 부서 상담 
3. 환불 예정 금액 안내 
4. 환불 처리 진행 (* 업무일 기준 7-10일 소요)

※ 유효기간이 지난 수강권 혹은 양도 받은 수강권은 환불 불가 
※ 결제 하신 상품에 따라 환불 위약금 발생 할 수 있음 

[환불버튼 클릭 링크]
https://www.supaja.com/student_my_buy_list"
과외,결제방식을 변경하고 싶어요.,"[결제 방식 변경 방법] 
1. 원하는 결제 방식으로 결제 진행 
2. 수파자 고객센터에 기존 결제 건 환불 요청
- 환불 요청 후, 업무일 기준 평균 7-10일 소요 "
과외,수강권을 양도하고 싶어요.,"[수강권 양도 방법] 
1. 수파자 고객센터에 수강권 양도 요청 
- 양도 할 학생 정보 (이름/휴대폰 번호) 
- 양도 받을 학생 정보 (이름/휴대폰 번호) 

※ 가족간 양도만 가능 
※ 수강권 유효기간이 남아있는 잔여 수강권 전체 양도만 가능(부분 양도 불가) 
※ 양도된 수강권은 환불 및 재 양도 불가 "
과외,배율수업이 무슨 말인가요?,"1. 배율 수업이란? 수업 난이도 및 교과과정에 따라 강의실 당 배율이 차등 적용되는 것을 의미 
2. 과목 별 배율 
- 0.8배율: 초등수업(국,영,수,사,과) (*단, 논술 및 영작 수업은 제외) 
- 1배율: 중등~고2수업(국,영,수), 고등 사회탐구, 고등 과학탐구1, 멘토링 
- 1.25배율: 고3수업(국,영,수), 고등 과학탐구 2, 자소서, 토익/토플(일반) 
- 1.5배율: AP, IB, 탐구보고서, 인문논술, 학종 컨설팅 등.. 
※ 이외의 과목의 경우, 수파자 측에 문의하여 배율수업 확인 가능 
3. 예시: 1.5배율 수업 = 1분 수업 시, 학생 수강권 1.5분 차감 "
과외,수업 신청 방법이 궁금해요. 어떻게 수업을 신청하나요?,"[수업 신청 방법] 

1. 홈페이지를 통해 직접 수업신청하기
- “선생님 찾기""를 통해 신청
- 관련 링크: https://www.supaja.com/live/teacher/list

2. 수파자에서 선생님 추천 받기 
- 수파자 카카오톡에 ""추천 원함"" 메시지 남기기 
- 업무일 기준 평균 7-5일 소요 "
과외,선생님을 추천받고 싶어요.,"선생님 추천 요청 양식 수파자 카카오톡에 남기기 

[선생님 추천 요청 양식] 
- 학생 이름: 
- 학생 연락처: 
- 학년 (예시: 초5 / 중2 / 고2 / 성인)
- 과목 (예시: 중등과학 / 수1 / 미적분 / 고등영어)
- 성적 (예시: 내신 2등급 / 모의고사 3등급 / 중간고사 80점)
- 교재 (예시: 수능특강 / 완자 / 개념원리 / 선생님께서 추천해 주세요)
- 요일별 수업 가능시간 (예시: 월,수,금 오후 5시 이후 / 화,목 오후 3시~5시)
- 주간수업 횟수/시간 (예시: 주2회 60분)
- 수업요청사항 (예시: 꼼꼼한 개념 설명 및 문제풀이 / 질의응답식 위주의 수업)
- 특이사항 (예시: 해외에 거주하고 있어요 / 기숙사 생활하고 있어요 / 특목 고등학교 재학 중이에요)"
과외,현재 수업을 중단하고 싶어요.,"수업 중단을 원하시는 경우, 최소 2주 전 담당 선생님께 중단 의사를 밝혀주신 후, 수업 중단 요청 양식 수파자 카카오톡에 남기기 

[수업 중단 요청 양식] 
- 학생 이름: 
- 학셍 연락처: 
- 선생님 이름: 
- 과목명: 
- 선생님과 협의된 마지막 수업 일정: 
- 중단 사유: 

※ 해당 내용은 담당 부서에 전달되어 선생님 확인 후, 강의실 정리"
과외,선생님이 수업에 불참한 경우 어떻게 되나요?,"[노쇼 정책] 

1. 기준 
- 지각: 예정 수업 시간+11분~30분까지 강의실 입장 시
- 노쇼(No-Show): 수업 시간+31분 이후 강의실 입장 / 수업 무단 불참 / 지각 3번 

2. 정책 
- 학생이 노쇼를 하는 경우, 학생 수강권 30분 차감 및 선생님께 30분강사료 정산
- 해당 정책은 학생/선생님 양 측 모두에게 동일하게 적용"
과외,체험수업 일정을 변경하려면 어떻게 해야 하나요?,"선생님과 체험수업 일정 협의 후, 수파자 고객센터에 체험수업 일정 변경 요청 남기기 

[체험수업 일저 변경 요청]
- 학생 이름: 
- 학생 연락처: 
- 선생님 이름: 
- 과목명: 
- 변경 전 체험수업 일정: 
- 변경 후 체험수업 일정:"
과외,정규수업 일정을 변경하려면 어떻게 해야 하나요?,"선생님과 정규수업 일정 협의 후, 선생님께 정규수업 일정 변경 및 등록 요청하기"
과외,체험수업은 몇 번 진행할 수 있나요?,"체험수업은 잔여 수강권 내에서 학생이 원하는 만큼 진행 가능 (무료 체험수업은 학생 계정 가입 시, 1회만 가능) 
학생이 구매한 수강권으로 체험수업 진행 후 정규수업이 확정된 경우, 보너스 30분 충전"
과외,체험수업 신청을 취소하고 싶어요. 어떻게 해야 하나요?,"1. 선생님 수락 전, 체험수업 신청 취소를 원하는 경우 
- 수업 신청 내역 > 자세히 보기 > 수업 신청 취소 버튼 클릭 

2. 선생님 수락 후, 체험수업 신청 취소를 원하는 경우 
- 수파자 카카오톡에 체험수업 신청 취소 요청 남기기 

[체험수업 신청 취소 요청] 
- 학생 이름: 
- 학셍 연락처: 
- 선생님 이름: 
- 과목명: 
- 신청 취소 사유: 

※ 해당 내용은 담당 부서 및 선생님께 취소 요청 전달"
과외,수업은 어떻게 진행되나요?,"1. 수파자 사이트 접속 
2. 학생 계정 로그인 
3. 강의실 > 강의실 입장 버튼 클릭 
4. 줌 강의실로 이동 
- 수업 전, 수업 진행 기기에 줌 어플 설치 필수! 
- 강사 입장 후, 학생 강의실 입장 가능
- 강의실 입장 후, ""이 회의는 녹화 중입니다"" 안내 창에서 ""확인"" 버튼 클릭 필수!  
- 수업 종료 후, ""나가기"" 버튼 및 ""회의 나가기"" 버튼 클릭 필수! (선생님 퇴장 후, 자동 종료)"
